metric,type,start_time,end_time,value,opt
Coulomb charge,int,1657388909602,1657388925870,1163,
Coulomb charge,int,1657388925870,1657388928342,1157,
Coulomb charge,int,1657388928342,1657388934192,1156,
Coulomb charge,int,1657388934192,1657388986227,1155,
Coulomb charge,int,1657388986227,1657389016111,1146,
Coulomb charge,int,1657389016111,1657389028273,1141,
Coulomb charge,int,1657389028273,1657389043541,1139,
Coulomb charge,int,1657389043541,1657389131915,1136,
Coulomb charge,int,1657389131915,1657389170692,1125,
